job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,required_skills,company_name
AI08950,AI Specialist,309752,EUR,EX,FL,Netherlands,L,Netherlands,"Java, Git, Linux, Scala",Advanced Robotics
AI01196,Data Scientist,307439,EUR,EX,FT,Netherlands,L,Netherlands,"Java, NLP, Hadoop, PyTorch",Cloud AI Solutions
AI13468,AI Architect,306988,EUR,EX,PT,Netherlands,L,Finland,"Deep Learning, Kubernetes, Data Visualization, Git, Computer Vision",Cloud AI Solutions
AI02207,Robotics Engineer,306230,EUR,EX,FL,Netherlands,L,Netherlands,"Java, Data Visualization, Scala, Computer Vision, MLOps",DataVision Ltd
AI11507,Data Engineer,304214,EUR,EX,PT,Netherlands,L,Australia,"Azure, SQL, Docker, R, Deep Learning",Cognitive Computing
AI11387,Machine Learning Engineer,302962,EUR,EX,CT,Netherlands,L,Netherlands,"Kubernetes, Linux, Git",Advanced Robotics
AI01960,Machine Learning Engineer,291583,EUR,EX,CT,Netherlands,L,Japan,"Python, Git, TensorFlow",Machine Intelligence Group
AI01136,Machine Learning Researcher,291446,EUR,EX,FT,Germany,L,Germany,"Kubernetes, PyTorch, Java, Git, Computer Vision",Quantum Computing Inc
AI13776,Machine Learning Researcher,289730,EUR,EX,PT,Germany,L,Germany,"Spark, Python, Kubernetes, Docker",Digital Transformation LLC
AI03029,AI Product Manager,287053,EUR,EX,CT,Germany,L,Germany,"Hadoop, Linux, GCP, NLP",DeepTech Ventures
AI07425,Head of AI,287048,EUR,EX,FL,Netherlands,L,Netherlands,"Spark, PyTorch, TensorFlow, AWS",Machine Intelligence Group
AI01773,AI Specialist,285999,EUR,EX,FL,Germany,L,Norway,"Deep Learning, Mathematics, Python",Future Systems
AI04164,Head of AI,285921,EUR,EX,FL,Netherlands,L,Netherlands,"TensorFlow, PyTorch, Scala, Tableau, SQL",Smart Analytics
AI00222,NLP Engineer,285880,EUR,EX,FL,Netherlands,L,Canada,"SQL, Linux, Tableau, MLOps, Spark",Digital Transformation LLC
AI02142,Deep Learning Engineer,285282,EUR,EX,FT,Germany,L,United Kingdom,"TensorFlow, Spark, Python, Kubernetes",Predictive Systems
AI03519,Machine Learning Engineer,285168,EUR,EX,CT,Netherlands,L,Netherlands,"GCP, MLOps, Data Visualization, Mathematics",Autonomous Tech
AI01735,Data Analyst,284013,EUR,EX,FL,Netherlands,L,Netherlands,"Python, NLP, Docker, Statistics",DataVision Ltd
AI06069,AI Research Scientist,283388,EUR,EX,PT,Germany,L,Israel,"Statistics, TensorFlow, Python, Linux, Docker",Smart Analytics
AI05141,AI Architect,281427,EUR,EX,FT,Netherlands,L,Netherlands,"Mathematics, MLOps, AWS, SQL",Machine Intelligence Group
AI02088,Head of AI,281137,EUR,EX,PT,Netherlands,L,Netherlands,"Scala, Computer Vision, MLOps, Linux, Java",Machine Intelligence Group
AI12176,Autonomous Systems Engineer,279728,EUR,EX,PT,Germany,L,Singapore,"Computer Vision, SQL, NLP, Data Visualization",AI Innovations
AI03336,AI Research Scientist,278354,EUR,EX,CT,Germany,L,United Kingdom,"Kubernetes, Linux, Tableau, AWS, Computer Vision",DeepTech Ventures
AI05259,NLP Engineer,277237,EUR,EX,PT,Netherlands,L,Netherlands,"Docker, Kubernetes, Tableau",Autonomous Tech
AI06344,AI Architect,276168,EUR,EX,CT,Netherlands,L,Netherlands,"Python, TensorFlow, PyTorch, Computer Vision",DataVision Ltd
AI12462,Data Engineer,275694,EUR,EX,FT,France,L,France,"PyTorch, R, Python, Scala",Cloud AI Solutions
AI03178,Computer Vision Engineer,274717,EUR,EX,FT,Germany,L,Germany,"GCP, Statistics, Linux",Future Systems
AI06321,Research Scientist,273000,EUR,EX,CT,France,L,France,"PyTorch, Data Visualization, SQL, Computer Vision, Kubernetes",DataVision Ltd
AI03067,Machine Learning Engineer,272964,EUR,EX,CT,France,L,France,"Mathematics, Kubernetes, Tableau",DataVision Ltd
AI05572,Machine Learning Researcher,271583,EUR,EX,CT,Germany,L,Germany,"PyTorch, Spark, Git, Kubernetes",Algorithmic Solutions
AI01717,Principal Data Scientist,270252,EUR,EX,FT,Germany,L,India,"TensorFlow, Git, MLOps, Tableau",Future Systems
AI08399,ML Ops Engineer,269323,EUR,EX,CT,Germany,L,Denmark,"Python, TensorFlow, Kubernetes, AWS, Docker",Future Systems
AI09878,Machine Learning Engineer,268138,EUR,EX,FL,Germany,L,Germany,"Scala, Hadoop, Python",DeepTech Ventures
AI13274,Research Scientist,267679,EUR,EX,CT,Netherlands,M,Netherlands,"Deep Learning, Spark, Python, Git, Mathematics",Digital Transformation LLC
AI13058,Data Analyst,267439,EUR,EX,PT,France,L,Austria,"Hadoop, Python, Kubernetes, Computer Vision",DataVision Ltd
AI05536,AI Specialist,264045,EUR,EX,FT,Germany,L,China,"Git, Java, Data Visualization",DataVision Ltd
AI06611,Machine Learning Engineer,263587,EUR,EX,FL,Germany,L,Germany,"MLOps, Scala, GCP, Mathematics",Predictive Systems
AI12917,AI Consultant,263466,EUR,EX,FT,Germany,L,Germany,"Deep Learning, Computer Vision, Azure, SQL",Smart Analytics
AI12739,Machine Learning Researcher,263281,EUR,EX,FT,Germany,L,Germany,"Spark, Kubernetes, Data Visualization",Quantum Computing Inc
AI04584,Head of AI,262804,EUR,EX,CT,Netherlands,M,Netherlands,"Data Visualization, SQL, Deep Learning",Algorithmic Solutions
AI10925,AI Specialist,262551,EUR,EX,PT,Netherlands,L,United States,"NLP, Hadoop, SQL, Tableau, Docker",Neural Networks Co
AI12878,AI Architect,262466,EUR,EX,CT,France,L,Austria,"Docker, Deep Learning, Git",Smart Analytics
AI06302,Data Engineer,260042,EUR,EX,FT,Germany,L,Austria,"SQL, Git, Kubernetes",Predictive Systems
AI13910,Principal Data Scientist,259796,EUR,EX,FT,France,L,France,"NLP, TensorFlow, Git, Computer Vision, Hadoop",Advanced Robotics
AI13301,Data Scientist,258588,EUR,EX,PT,Netherlands,L,Singapore,"Hadoop, Kubernetes, Spark, Python, Computer Vision",Future Systems
AI12250,AI Software Engineer,257992,EUR,EX,CT,Netherlands,L,Netherlands,"Kubernetes, Spark, Tableau, SQL, GCP",Smart Analytics
AI11942,AI Software Engineer,257689,EUR,EX,FL,Netherlands,M,Netherlands,"Kubernetes, GCP, Python",TechCorp Inc
AI11185,ML Ops Engineer,257578,EUR,EX,FL,Netherlands,M,South Korea,"Scala, SQL, Azure, Python",TechCorp Inc
AI06894,Data Scientist,257296,EUR,EX,CT,Netherlands,M,Ireland,"Python, TensorFlow, PyTorch, Statistics",Predictive Systems
AI08383,AI Software Engineer,257079,EUR,EX,PT,Netherlands,M,Netherlands,"Kubernetes, R, Docker",Future Systems
AI11277,AI Product Manager,257028,EUR,EX,FL,Germany,L,Canada,"R, NLP, Python, TensorFlow, MLOps",Cognitive Computing
AI11800,AI Software Engineer,256792,EUR,EX,FT,France,L,France,"Git, Linux, Java, TensorFlow",Digital Transformation LLC
AI11130,Data Engineer,255585,EUR,EX,FT,Netherlands,M,Netherlands,"Scala, Azure, MLOps, Statistics",TechCorp Inc
AI01911,Data Analyst,255147,EUR,EX,CT,Netherlands,M,Netherlands,"Azure, Java, Deep Learning, Kubernetes",Autonomous Tech
AI06349,Machine Learning Researcher,254219,EUR,EX,FL,Germany,M,Germany,"Python, Kubernetes, NLP",Quantum Computing Inc
AI14466,Robotics Engineer,254155,EUR,EX,PT,Netherlands,M,Netherlands,"Git, Data Visualization, Deep Learning, Kubernetes, NLP",DataVision Ltd
AI10826,AI Architect,253682,EUR,EX,PT,Netherlands,M,Netherlands,"TensorFlow, Docker, Deep Learning, Azure, GCP",Autonomous Tech
AI13836,Data Scientist,253170,EUR,EX,CT,Germany,L,Germany,"Computer Vision, Python, TensorFlow",AI Innovations
AI03233,Autonomous Systems Engineer,251857,EUR,EX,CT,France,L,France,"PyTorch, Statistics, Tableau",Neural Networks Co
AI02503,Robotics Engineer,251105,EUR,EX,FL,France,L,France,"PyTorch, Git, Data Visualization, Linux, Deep Learning",Smart Analytics
AI04979,Machine Learning Engineer,250873,EUR,EX,FL,Netherlands,L,Netherlands,"Data Visualization, Python, R, GCP, Statistics",TechCorp Inc
AI08752,Autonomous Systems Engineer,250614,EUR,EX,CT,Netherlands,M,Austria,"Java, PyTorch, Linux",Autonomous Tech
AI14265,Data Analyst,250336,EUR,EX,PT,Netherlands,L,Netherlands,"SQL, Git, PyTorch, Computer Vision",DataVision Ltd
AI07714,Data Scientist,249787,EUR,EX,CT,Germany,M,Germany,"Deep Learning, SQL, MLOps",Algorithmic Solutions
AI10868,Research Scientist,249658,EUR,EX,PT,Germany,M,Germany,"Linux, Data Visualization, Python, Kubernetes",Machine Intelligence Group
AI05124,Research Scientist,249294,EUR,EX,FL,Germany,M,Germany,"Spark, Scala, Tableau",DataVision Ltd
AI04141,NLP Engineer,249265,EUR,EX,FL,Germany,L,Germany,"Python, TensorFlow, Computer Vision, PyTorch",Smart Analytics
AI02119,AI Software Engineer,248782,EUR,EX,FL,Germany,L,Germany,"Python, TensorFlow, Computer Vision, PyTorch, NLP",Cognitive Computing
AI05762,AI Research Scientist,248341,EUR,EX,FT,France,L,France,"Spark, Tableau, Kubernetes",Advanced Robotics
AI04387,Data Scientist,248290,EUR,EX,PT,Netherlands,M,Ireland,"Linux, Python, Tableau, TensorFlow",DataVision Ltd
AI08040,Research Scientist,247997,EUR,EX,FT,Netherlands,M,Austria,"Azure, Python, R, TensorFlow",Advanced Robotics
AI13812,Computer Vision Engineer,247676,EUR,EX,CT,Germany,L,Germany,"Mathematics, Scala, AWS",Machine Intelligence Group
AI08976,Data Scientist,247297,EUR,EX,FL,Germany,L,France,"Kubernetes, GCP, SQL, PyTorch, Computer Vision",Cloud AI Solutions
AI06694,Head of AI,245116,EUR,EX,FL,Germany,M,Germany,"R, AWS, Deep Learning",Predictive Systems
AI10132,Data Engineer,245057,EUR,EX,CT,Netherlands,M,Netherlands,"PyTorch, TensorFlow, MLOps, Azure",Smart Analytics
AI04001,Data Analyst,244488,EUR,EX,PT,Germany,L,Germany,"Git, NLP, SQL, Scala",Cognitive Computing
AI10778,Principal Data Scientist,244280,EUR,EX,CT,Germany,M,India,"Spark, Python, Azure, Git, Data Visualization",AI Innovations
AI00995,Computer Vision Engineer,243973,EUR,EX,PT,Netherlands,L,Canada,"AWS, Statistics, SQL",Machine Intelligence Group
AI02667,AI Architect,243372,EUR,EX,PT,France,L,France,"GCP, PyTorch, Python",DataVision Ltd
AI01163,Data Engineer,243337,EUR,EX,FL,Germany,L,Germany,"Data Visualization, Git, TensorFlow, SQL",Smart Analytics
AI10975,Autonomous Systems Engineer,243094,EUR,EX,FL,Germany,M,Denmark,"Java, Spark, PyTorch, Tableau, GCP",Autonomous Tech
AI12284,Principal Data Scientist,242612,EUR,EX,CT,France,L,France,"SQL, Hadoop, Python",Advanced Robotics
AI12624,AI Architect,242362,EUR,EX,CT,Netherlands,M,Netherlands,"Mathematics, Spark, Python",DeepTech Ventures
AI05204,AI Software Engineer,241599,EUR,EX,PT,France,L,France,"Data Visualization, Azure, Mathematics",Neural Networks Co
AI03620,Autonomous Systems Engineer,241397,EUR,EX,CT,Netherlands,M,Netherlands,"Tableau, Data Visualization, Azure",Machine Intelligence Group
AI12057,Computer Vision Engineer,240840,EUR,EX,FT,Netherlands,L,Netherlands,"GCP, Scala, PyTorch, Python",AI Innovations
AI05185,AI Research Scientist,240191,EUR,EX,FL,Germany,L,Germany,"PyTorch, Azure, NLP, TensorFlow",Cognitive Computing
AI01663,AI Consultant,239573,EUR,EX,FL,France,L,France,"Scala, Python, Linux, GCP, NLP",Algorithmic Solutions
AI08341,Robotics Engineer,239492,EUR,EX,FT,Germany,L,Germany,"Java, Spark, SQL, Mathematics, Linux",Cognitive Computing
AI05303,Head of AI,239447,EUR,EX,FT,Germany,L,Germany,"AWS, Hadoop, Tableau, Kubernetes, Scala",Advanced Robotics
AI03224,Robotics Engineer,239167,EUR,EX,FT,France,L,France,"GCP, Azure, Kubernetes, Linux",Quantum Computing Inc
AI05757,Head of AI,238951,EUR,EX,FT,France,M,France,"PyTorch, Computer Vision, Hadoop, Python, Data Visualization",Future Systems
AI13133,Autonomous Systems Engineer,238673,EUR,EX,CT,Germany,M,United Kingdom,"GCP, Kubernetes, Docker, Computer Vision, SQL",Advanced Robotics
AI05012,AI Architect,238496,EUR,EX,PT,Netherlands,L,United States,"Computer Vision, Mathematics, Kubernetes, PyTorch, Docker",Predictive Systems
AI07803,Principal Data Scientist,238006,EUR,EX,FL,France,M,France,"Deep Learning, Computer Vision, Statistics, Scala",Quantum Computing Inc
AI08456,Research Scientist,237757,EUR,EX,PT,France,L,France,"SQL, TensorFlow, Computer Vision",Algorithmic Solutions
AI03829,AI Specialist,237642,EUR,EX,FL,France,M,France,"Java, SQL, Linux",Quantum Computing Inc
AI01300,Robotics Engineer,237558,EUR,EX,PT,Netherlands,M,Netherlands,"SQL, Hadoop, Data Visualization, Deep Learning",Algorithmic Solutions
AI11901,Machine Learning Engineer,237424,EUR,EX,FT,France,M,France,"PyTorch, R, Java, Docker, Statistics",Machine Intelligence Group
AI12189,AI Research Scientist,237211,EUR,EX,FT,France,M,Canada,"SQL, Scala, Python",Future Systems
AI04550,Data Engineer,236928,EUR,EX,FT,Netherlands,S,Netherlands,"R, Python, Mathematics, Azure, Docker",Smart Analytics
AI14484,Computer Vision Engineer,236079,EUR,EX,FT,Germany,M,France,"GCP, NLP, Kubernetes, Linux, PyTorch",Autonomous Tech
AI06307,Research Scientist,235795,EUR,EX,FL,Netherlands,L,Netherlands,"Hadoop, Scala, AWS",Advanced Robotics
AI12321,Research Scientist,235503,EUR,EX,FL,France,L,France,"Git, Tableau, Spark",Advanced Robotics
AI10924,Machine Learning Engineer,235223,EUR,EX,FT,Netherlands,M,Netherlands,"Spark, Java, R",Smart Analytics
AI03518,Deep Learning Engineer,235143,EUR,EX,FL,Netherlands,S,Netherlands,"Java, Scala, NLP, Hadoop, Mathematics",Digital Transformation LLC
AI14692,Machine Learning Engineer,234941,EUR,EX,CT,Netherlands,S,Netherlands,"Statistics, Java, Mathematics, R, Spark",Machine Intelligence Group
AI14831,AI Product Manager,234663,EUR,EX,FL,Germany,M,South Korea,"Java, Hadoop, Scala",Predictive Systems
AI11152,ML Ops Engineer,234622,EUR,EX,FL,Netherlands,S,Netherlands,"Linux, Hadoop, Scala, Java, NLP",Quantum Computing Inc
AI10472,Data Scientist,234296,EUR,EX,FT,Netherlands,M,Netherlands,"PyTorch, TensorFlow, GCP, Docker",Predictive Systems
AI11779,AI Research Scientist,233971,EUR,EX,PT,France,M,France,"Mathematics, Kubernetes, SQL",Cognitive Computing
AI08780,AI Software Engineer,233872,EUR,EX,FT,Netherlands,L,Netherlands,"Docker, NLP, Tableau, GCP",Neural Networks Co
AI12778,Autonomous Systems Engineer,233662,EUR,EX,FT,Germany,L,France,"MLOps, Hadoop, Spark, NLP",Predictive Systems
AI11790,Data Scientist,233248,EUR,EX,PT,Netherlands,L,Netherlands,"Python, MLOps, TensorFlow",Cognitive Computing
AI11917,Data Analyst,232937,EUR,EX,FT,Netherlands,M,Netherlands,"Computer Vision, Data Visualization, Hadoop, Java",AI Innovations
AI01233,Autonomous Systems Engineer,232297,EUR,EX,CT,Netherlands,M,Netherlands,"Docker, GCP, Tableau, Statistics",Smart Analytics
AI07236,Robotics Engineer,232278,EUR,EX,CT,Germany,M,United States,"Hadoop, Mathematics, SQL, NLP",Digital Transformation LLC
AI02986,Research Scientist,232113,EUR,EX,FT,Germany,L,Germany,"SQL, Scala, MLOps, Python",Algorithmic Solutions
AI14005,Autonomous Systems Engineer,232083,EUR,EX,CT,France,L,France,"Azure, TensorFlow, Python",Advanced Robotics
AI05842,Deep Learning Engineer,230984,EUR,EX,PT,Netherlands,S,Netherlands,"SQL, Hadoop, Statistics",Predictive Systems
AI07311,AI Research Scientist,230941,EUR,EX,FL,Netherlands,M,Denmark,"Git, PyTorch, Kubernetes",Quantum Computing Inc
AI11114,NLP Engineer,230365,EUR,EX,PT,France,M,France,"Scala, Docker, MLOps",Digital Transformation LLC
AI03241,Machine Learning Engineer,230333,EUR,EX,FT,France,L,France,"Computer Vision, SQL, NLP, Hadoop",AI Innovations
AI09688,Machine Learning Engineer,230063,EUR,EX,FL,France,M,Sweden,"Azure, Scala, Data Visualization, PyTorch, SQL",Digital Transformation LLC
AI05172,Machine Learning Engineer,229975,EUR,EX,CT,Netherlands,S,Finland,"GCP, Mathematics, Hadoop",Cloud AI Solutions
AI01307,Machine Learning Engineer,229819,EUR,EX,FT,Netherlands,M,Netherlands,"Scala, Python, GCP, Azure",Future Systems
AI11051,ML Ops Engineer,228723,EUR,EX,FL,Netherlands,L,Netherlands,"Docker, Kubernetes, Tableau, Scala",AI Innovations
AI08669,Principal Data Scientist,228543,EUR,EX,FT,Netherlands,S,Netherlands,"Docker, Git, Tableau, SQL",Smart Analytics
AI01869,Data Engineer,228323,EUR,EX,FL,France,M,France,"PyTorch, Hadoop, SQL",Algorithmic Solutions
AI11475,AI Architect,228101,EUR,EX,FT,Netherlands,S,Netherlands,"AWS, SQL, Data Visualization, Tableau",Quantum Computing Inc
AI10433,Robotics Engineer,227589,EUR,EX,CT,Germany,S,Germany,"Linux, MLOps, Docker",Algorithmic Solutions
AI09253,Data Scientist,227373,EUR,EX,PT,Netherlands,M,Sweden,"Java, Kubernetes, SQL, AWS, Deep Learning",Cognitive Computing
AI09521,AI Product Manager,227298,EUR,EX,CT,France,L,France,"Deep Learning, Computer Vision, NLP, Git",Quantum Computing Inc
AI13807,Head of AI,227188,EUR,EX,PT,Germany,S,United Kingdom,"GCP, Deep Learning, SQL, NLP",Digital Transformation LLC
AI05809,AI Architect,227002,EUR,EX,PT,Germany,M,Germany,"Spark, Git, Tableau",Cloud AI Solutions
AI00475,Data Scientist,226973,EUR,EX,FL,Germany,L,Australia,"PyTorch, SQL, Python, R",Smart Analytics
AI12764,Research Scientist,226891,EUR,EX,CT,Germany,L,Germany,"Mathematics, Python, Azure",Future Systems
AI13787,AI Specialist,226750,EUR,EX,FT,Netherlands,M,Netherlands,"Computer Vision, NLP, PyTorch, Linux, Azure",DeepTech Ventures
AI14109,Data Scientist,226673,EUR,EX,FT,France,L,France,"Kubernetes, GCP, NLP, Data Visualization, Scala",Cloud AI Solutions
AI08101,Machine Learning Researcher,226538,EUR,EX,PT,Germany,L,Germany,"Linux, TensorFlow, Computer Vision, GCP, SQL",TechCorp Inc
AI00455,Research Scientist,226519,EUR,EX,FL,Netherlands,M,France,"AWS, Mathematics, NLP, Linux",DeepTech Ventures
AI06215,Research Scientist,226076,EUR,EX,FL,Germany,S,Germany,"Docker, Computer Vision, Spark",Future Systems
AI05149,AI Product Manager,225951,EUR,EX,FL,Netherlands,S,Netherlands,"NLP, Tableau, Azure, TensorFlow, Data Visualization",Machine Intelligence Group
AI12184,Machine Learning Researcher,225886,EUR,EX,FL,France,M,Austria,"TensorFlow, Statistics, Docker, Scala, AWS",Predictive Systems
AI02549,Deep Learning Engineer,225540,EUR,EX,CT,Netherlands,M,Netherlands,"Docker, Computer Vision, MLOps",Algorithmic Solutions
AI06025,Computer Vision Engineer,224939,EUR,EX,CT,Netherlands,S,Netherlands,"PyTorch, Hadoop, NLP, Computer Vision, GCP",Cloud AI Solutions
AI08589,AI Research Scientist,224806,EUR,EX,CT,Germany,M,Germany,"Python, Git, SQL, Computer Vision, Azure",DataVision Ltd
AI08057,Research Scientist,224557,EUR,EX,CT,Germany,S,United Kingdom,"Computer Vision, Python, Deep Learning, Azure, TensorFlow",Advanced Robotics
AI11175,ML Ops Engineer,224521,EUR,EX,CT,Germany,S,Germany,"Python, Statistics, Kubernetes, Hadoop, Linux",Neural Networks Co
AI08424,Principal Data Scientist,224437,EUR,EX,CT,France,M,France,"Kubernetes, Java, Tableau",Neural Networks Co
AI07101,Deep Learning Engineer,224141,EUR,EX,FL,France,L,France,"NLP, Linux, PyTorch, Git, Scala",Quantum Computing Inc
AI08846,Robotics Engineer,224082,EUR,EX,CT,France,M,United States,"Scala, GCP, MLOps, Kubernetes, TensorFlow",Smart Analytics
